NoActivity, 2015-04-07-07-46-56,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-01,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-06,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-11,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-20,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-27,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-32,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-37,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-42,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-47,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-52,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-47-58,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-03,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-08,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-13,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-20,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-23,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-28,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-37,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-44,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-49,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
NoActivity, 2015-04-07-07-48-54,25.88,55.64,6.3,25.68,52.77,6.3,28.76,42.23,4.3,27.4,49.5,130618,22.34,50.2,4.5, off, on_1, off, off, off, off, off, standby, off, standby, off, off, off, standby, on_25, on_25, off, standby, off, off, on_1, off, off, off, 
